Team 1,Team 2,Pitch,Runs Left,Balls Left,Wickets Remaining,Total Runs Scored,Current Run Rate,Required Run Rate,Winner
West Indies,Afghanistan,3,95,55,7,186,8.492307692,10.36363636,0
Afghanistan,India,3,112,80,8,183,10.8,8.4,0
Australia,Sri Lanka,1,76,62,10,138,6.517241379,7.35483871,1
West Indies,England,3,158,97,9,185,7.304347826,9.773195876,1
Sri Lanka,Pakistan,3,141,86,9,185,7.941176471,9.837209302,0
New Zealand,Sri Lanka,2,113,99,10,153,11.71428571,6.848484848,1
Sri Lanka,England,1,119,110,10,124,3.6,6.490909091,1
New Zealand,England,3,98,65,8,171,8.072727273,9.046153846,1
New Zealand,Australia,1,28,35,6,141,8.047058824,4.8,1
New Zealand,Australia,1,12,30,6,141,8.666666667,2.4,1
Afghanistan,England,2,6,21,7,154,9.03030303,1.714285714,1
Australia,India,2,13,9,5,152,7.567567568,8.666666667,0
Sri Lanka,Australia,3,103,66,9,188,9.555555556,9.363636364,1
England,West Indies,2,146,87,8,165,3.636363636,10.06896552,0
West Indies,India,3,160,105,10,187,11.2,9.142857143,0
England,West Indies,1,127,103,10,139,4.588235294,7.398058252,1
Australia,Afghanistan,3,71,29,6,171,6.659340659,14.68965517,0
Pakistan,India,1,41,48,9,138,8.166666667,5.125,1
India,England,1,96,78,9,140,6.428571429,7.384615385,1
West Indies,Australia,3,160,94,9,200,9.461538462,10.21276596,0
New Zealand,Pakistan,1,113,95,10,140,6.72,7.136842105,1
Pakistan,England,3,101,34,5,227,8.860465116,17.82352941,0
Pakistan,England,3,179,88,9,227,9.1875,12.20454545,0
England,India,3,88,51,6,184,8.434782609,10.35294118,0
West Indies,Australia,2,110,70,5,164,6.6,9.428571429,0
Sri Lanka,Pakistan,2,128,90,8,159,6.4,8.533333333,0
Afghanistan,England,3,55,23,5,183,7.979381443,14.34782609,0
New Zealand,India,3,64,34,6,197,9.348837209,11.29411765,0
Pakistan,West Indies,2,94,43,4,167,5.766233766,13.11627907,0
Pakistan,Afghanistan,3,35,28,9,190,10.17391304,7.5,1
England,Sri Lanka,1,63,90,8,106,8.8,4.2,0
India,New Zealand,3,97,20,2,179,4.98,29.1,0
England,West Indies,3,159,100,10,177,5.7,9.54,1
Australia,Pakistan,3,34,8,4,192,8.517857143,25.5,0
England,India,3,161,89,9,191,6,10.85393258,0
Pakistan,West Indies,2,163,117,10,167,10,8.358974359,0
Afghanistan,Australia,3,35,7,5,218,9.769911504,30,0
India,Sri Lanka,2,45,46,8,156,9.081081081,5.869565217,1
West Indies,New Zealand,2,96,66,10,170,8.333333333,8.727272727,0
Australia,India,3,66,29,5,176,7.318681319,13.65517241,0
New Zealand,Australia,3,206,91,10,246,8.482758621,13.58241758,0
India,Australia,3,139,93,10,176,8.444444444,8.967741935,1
Pakistan,West Indies,3,50,22,4,171,7.469387755,13.63636364,0
Pakistan,India,2,34,63,10,154,12.73684211,3.238095238,1
West Indies,Australia,2,48,31,7,165,7.95505618,9.290322581,1
Pakistan,Sri Lanka,3,168,95,8,201,8.16,10.61052632,0
Sri Lanka,Australia,3,126,49,4,192,5.661971831,15.42857143,0
England,New Zealand,1,97,97,9,130,8.869565217,6,1
England,Australia,1,35,43,8,128,7.324675325,4.88372093,1
Afghanistan,Sri Lanka,3,105,45,6,171,5.36,14,0
Pakistan,New Zealand,1,58,75,9,133,10.13333333,4.64,1
Australia,West Indies,2,86,47,6,170,6.98630137,10.9787234,1
Afghanistan,Australia,3,90,33,6,218,8.896551724,16.36363636,0
